           0        0.100000        0.200000        0.300000
           1        0.110000        0.210000        0.320000
           2        0.120000        0.220000        0.340000
           3        0.130000        0.230000        0.360000
           4        0.140000        0.240000        0.380000
           5        0.150000        0.250000        0.400000
           6        0.160000        0.260000        0.420000
           7        0.170000        0.270000        0.440000
           8        0.180000        0.280000        0.460000
           9        0.190000        0.290000        0.480000
          10        0.200000        0.300000        0.500000
